precio,area_m2,habitaciones,baños,estrato,barrio,antiguead,administracion,parqueadero,piso,codigo,equipado,sauna,jacuzzi,calefaccion,porteria,vista_panoramica,vista_exterior,picina,terraza,balcon,area_terraza_balcon_m2,descripcion,link,query,date
650000000,100.0,1,3,4,BOSQUE IZQUIERDO,Entre 0 y 5 años,510000.0,2.0,2,10139-M3768869,0,0,0,0,0,0,0,0,0,1,1.0,"Bellísimo apartamento en Bosque Izquierdo para venta de 100 mts con balcón. Una alcoba con vestier y baño, estudio o segunda alcoba con baño, baño social, sala con chimenea a gas, comedor con balcón, cocina abierta y zona de lavandería. Puerta de seguridad, vista exterior, dos garajes en línea y depósito. Cuenta con terraza comunal con bbq, parque infantil, dos ascensores. Estrato 4.",https://www.metrocuadrado.com/inmueble/venta-apartamento-bogota-bosque-izquierdo-1-habitaciones-3-banos-2-garajes/10139-M3768869,bosque-izquierdo,Sun Apr  2 16:43:59 2023
260000000,54.0,1,1,3,La Macarena,Más de 20 años,,,3,14454-M4117124,0,0,0,1,0,0,0,0,0,0,,"Apartamento en excelente ubicación, cerca de la Universidad Jorge Tadeo Lozano, parque Bicentenario, ingreso por la avenida Circunvalar. Buenos acabados, piso laminado, cocina integral, estudio, sala-comedor.",https://www.metrocuadrado.com/inmueble/venta-apartamento-bogota-bosque-izquierdo-1-habitaciones-1-banos/14454-M4117124,bosque-izquierdo,Sun Apr  2 16:44:04 2023
380000000,59.18,1,1,3,BOSQUE IZQUIERDO,Entre 0 y 5 años,350000.0,1.0,6,450-M2193771,1,0,0,0,0,1,0,0,1,0,4.0,"Apartamento ubicado en bosque izquierdo, sala comedor, cocina integral a gas, alcoba, estudio, baño, terraza, deposito, zona lavanderia., pisos en madera laminada. Cerca a universidades y avenidas principales..",https://www.metrocuadrado.com/inmueble/venta-apartamento-bogota-bosque-izquierdo-1-habitaciones-1-banos-1-garajes/450-M2193771,bosque-izquierdo,Sun Apr  2 16:44:11 2023
377000000,51.0,1,2,4,La Macarena,Entre 5 y 10 años,293900.0,2.0,o,847-M3359398,0,0,0,1,0,0,0,0,0,1,,Esta vez traemos para ti este apartamento para la venta estilo loft ubicado en el Centro de la ciudad gozando de la oferta turística y de todos los lugares de interés históricos que se encuentran concentrados en ella de su enriquecedora gastronomía colores y música que te ofrecen sus calles. Con un moderno diseño esta propiedad te abre sus puertas con el área social donde encontramos una sala comedor cocina abierta estilo americano donde podrás atender a tu visita mientras preparas unos deliciosos pasabocas además por la sala hay acceso a un balcón. En seguida está el baño social y un muro flotante con chimenea que separa la parte del área social de la habitación esta última cuenta con baño privado y además con walk in closet. Para mayor información visita nuestra pagina web www.pads.com.co con el cód.7214,https://www.metrocuadrado.com/inmueble/venta-apartamento-bogota-bosque-izquierdo-1-habitaciones-2-banos-2-garajes/847-M3359398,bosque-izquierdo,Sun Apr  2 16:44:18 2023
390000000,60.0,1,2,3,La Macarena,Entre 5 y 10 años,285000.0,1.0,4,2328-M3053859,0,0,0,0,1,0,0,0,0,0,,"Financio espectacular apartamento para estrenar ubicado en lugar estratégico de la ciudad, muy cerca al centro histórico de la ciudad, centro internacional con ventanas termoacústicas, terraza, edificio con gimnasio, sala de juntas, BBQ, contacto Claudia Zarate",https://www.metrocuadrado.com/inmueble/venta-apartamento-bogota-bosque-izquierdo-1-habitaciones-2-banos-1-garajes/2328-M3053859,bosque-izquierdo,Sun Apr  2 16:44:26 2023
450000000,39.0,1,1,3,Bosque Izquierdo,Entre 0 y 5 años,166697.0,1.0,,12041-M4127654,0,0,0,1,0,0,0,0,0,1,,"Apartaestudio en venta en el complejo arquitectónico BD Bacatá en Bogotá, Centro con alto desarrollo valorización. Excelente ubicación cerca a universidades, a lugares culturales y turísticos como el Chorro de Quevedo, la plaza de Bolívar, el Museo del Oro, la Biblioteca Nacional de Colombia y la Biblioteca Luis Ángel Arango. El apartamento está en un piso 23 por lo que tiene vista panorámica privilegiada, tiene 1 habitación, 1 baño, 1 parqueadero, balcón, sala comedor, cocina con horno y estufa de inducción, calentador eléctrico de paso, y está totalmente insonorizado.",https://www.metrocuadrado.com/inmueble/venta-apartamento-bogota-las-nieves-1-habitaciones-1-banos-1-garajes/12041-M4127654,bosque-izquierdo,Sun Apr  2 16:44:33 2023
390000000,55.0,1,2,4,Bosque Izquierdo,Entre 0 y 5 años,,1.0,,416-116945,0,0,0,1,0,0,0,0,0,1,,"Apartaestudio en venta en el complejo arquitectónico BD Bacatá en Bogotá, Centro con alto desarrollo valorización. Excelente ubicación cerca a universidades, a lugares culturales y turísticos como el Chorro de Quevedo, la plaza de Bolívar, el Museo del Oro, la Biblioteca Nacional de Colombia y la Biblioteca Luis Ángel Arango. El apartamento está en un piso 23 por lo que tiene vista panorámica privilegiada, tiene 1 habitación, 1 baño, 1 parqueadero, balcón, sala comedor, cocina con horno y estufa de inducción, calentador eléctrico de paso, y está totalmente insonorizado.",https://www.metrocuadrado.com/inmueble/venta-apartamento-bogota-bosque-izquierdo-1-habitaciones-2-banos-1-garajes/416-116945,bosque-izquierdo,Sun Apr  2 16:44:38 2023
1100000000,171.0,2,3,4,BOSQUE IZQUIERDO,Más de 20 años,750000.0,2.0,2,4274-M2684484,0,0,0,0,0,0,1,0,0,0,,"Amplio y rustico apartamento en el exclusivo sector de bosque izquierdo en bogota, el apartamento es exterior y esta rodeado de arboles, espacios ambplios. Rodeado de restaurantes y galerias, muy cerca del centro internacional y la candelaria.",https://www.metrocuadrado.com/inmueble/venta-apartamento-bogota-bosque-izquierdo-2-habitaciones-3-banos-2-garajes/4274-M2684484,bosque-izquierdo,Sun Apr  2 16:44:45 2023
165000000,54.0,3,2,3,MADRID,Entre 0 y 5 años,115000.0,1.0,2,2592-M3639526,0,0,0,0,0,0,1,0,0,0,,"En venta excelente apartamento Madrid con un área de 54m2, Alcobas:3, Baños:2 Estudio, con acabados Nuevos, Tipo cocina: integral, Estrato:3, Piso:2 exterior, sin depósito, Parqueaderos: 1 propio en sótano, exterior, Zonas comunes, Antigüedad: 5 años , Vigilancia 24 horas, sin ascensor. Administración: $115.000 Precio venta: $165 millones",https://www.metrocuadrado.com/inmueble/venta-apartamento-bogota-bosque-izquierdo-3-habitaciones-2-banos-1-garajes/2592-M3639526,bosque-izquierdo,Sun Apr  2 16:44:51 2023
650000000,81.76,1,2,4,Bosque Izquierdo,Entre 5 y 10 años,511000.0,1.0,,59-M3889467,0,0,0,1,0,0,0,0,0,1,,"Apartaestudio en venta. Ubicado en Bosque Izquierdo con excelentes acabados, distribuidos de la siguiente manera, cuenta con sala comedor amplio, cocina abierta, espacio de estudio con posibilidad de segunda habitación, habitación principal con walking closet baño privado, baño auxiliar, chimenea, balcón amplio, con vista exterior, parqueadero cubierto en servidumbre, vigilancia 24 7, Ascensor, parqueadero de visitantes, zonas verdes, parque infantil, área de terraza para descanso, zona tranquila, vista hacia los cerros orientales, centro de la ciudad, parque bosque izquierdo, colegio Ramón Jimeno, universidad Fráncico José de Caldas, universidad Jorge Tadeo Lozano, restaurantes, museos, planetario, parque la independencia, vías de acceso como lo son Av. circunvalar, Av. el Dorado, Carrera tercera, carrera primera, zona apetecida por estudiantes, sector de alta demanda para inversiones en instancias cortas.",https://www.metrocuadrado.com/inmueble/venta-apartamento-bogota-bosque-izquierdo-1-habitaciones-2-banos-1-garajes/59-M3889467,bosque-izquierdo,Sun Apr  2 16:44:58 2023
372000000,59.0,1,2,4,bosque izquierdo,Entre 0 y 5 años,210000.0,1.0,6,450-1836096,0,0,0,0,0,1,0,0,0,1,4.0,"Excelente apartamento exeterior tipo loft para estrenar, sala, comedor, alcoba con baño y vestier, baño social, estudio, amplio balcón, cocina integral con gas natural, cuarto de lavandería, parqueadero y depósito. Cerca a universidades, avenida circunvalar, calle 26, buenas vías de acceso, parques cercanos.",https://www.metrocuadrado.com/inmueble/venta-apartamento-bogota-bosque-izquierdo-1-habitaciones-2-banos-1-garajes/450-1836096,bosque-izquierdo,Sun Apr  2 16:45:09 2023
390000000,85.0,2,2,4,LA MACARENA Centro Internacional,Más de 20 años,50000.0,,2,MC4139952,0,0,0,0,0,1,0,0,0,1,4.0,"Vendo amplio y luminoso apartamento en La Macarena, recién remodelado, muy cerca de zona de restaurantes gourmet, universidades, museos, parques, Centro Internacional y estaciones de Transmilenio. Consta de una sala comedor, comedor auxiliar, cocina integral, 2 habitaciones, estudio, 2 baños y terraza comunal. Informes Tania Moreno. Se muestra con cita previa.",https://www.metrocuadrado.com/inmueble/venta-apartamento-bogota-bosque-izquierdo-2-habitaciones-2-banos/MC4139952,bosque-izquierdo,Sun Apr  2 16:45:20 2023
395000000,59.0,1,2,4,La Macarena,Entre 0 y 5 años,390000.0,1.0,,5175-M3989838,0,0,0,0,0,0,1,0,1,0,1.0,"Lindo apartamento de 59 Mts2 más 22Mts2 de terraza, una alcoba, dos baños, sala comedor, cocina integral, zona de ropas, vista exterior e iluminación natural, el edificio cuenta con terraza comunal, seguridad privada, ascensor, parqueadero de visitantes, gimnasio, salón comunal, salón de reuniones.",https://www.metrocuadrado.com/inmueble/venta-apartamento-bogota-bosque-izquierdo-1-habitaciones-2-banos-1-garajes/5175-M3989838,bosque-izquierdo,Sun Apr  2 16:45:37 2023
340000000,70.0,2,2,4,LA MACARENA Centro y Zona Colonial,Entre 5 y 10 años,515000.0,1.0,2,MC3032726,0,0,0,0,0,0,0,0,1,0,1.0,"Hermoso apartamento, cómodo y funcional, ubicado en zona segura y cerca a los mejores restaurantes. Muy iluminado, con balcón, puerta de seguridad, en segundo piso con ascensor. Cocina integral tipo americano, estufa, calentador y chimenea de gas.",https://www.metrocuadrado.com/inmueble/venta-apartamento-bogota-bosque-izquierdo-2-habitaciones-2-banos-1-garajes/MC3032726,bosque-izquierdo,Sun Apr  2 16:45:44 2023
360000000,52.0,1,2,4,BOSQUE IZQUIERDO,Entre 0 y 5 años,195000.0,1.0,4,223-1920,0,0,0,0,0,0,0,0,0,0,,http://www.coninsaramonh.com/coninsa/think/bogota/think/think,https://www.metrocuadrado.com/inmueble/venta-apartamento-bogota-bosque-izquierdo-1-habitaciones-2-banos-1-garajes/223-1920,bosque-izquierdo,Sun Apr  2 16:45:50 2023
430000000,51.0,1,2,4,Bosque Izquierdo,Entre 0 y 5 años,235600.0,1.0,,RV-M3998468,0,0,0,0,0,0,0,0,0,0,,ApartaEstudio AMOBLADO para ESTRENAR Dos Ambientes Walking Closet Dos Banos Estudio Cocina Integral Abierta Dos Terrazas Pisos Laminado y Ceramica Garaje Cubierto Cerca a la Veintiseis Contacto EDGAR LOPEZ,https://www.metrocuadrado.com/inmueble/venta-apartamento-bogota-bosque-izquierdo-1-habitaciones-2-banos-1-garajes/RV-M3998468,bosque-izquierdo,Sun Apr  2 16:45:57 2023
360000000,52.0,1,2,3,BOSQUE IZQUIERDO,Entre 0 y 5 años,200000.0,1.0,4,223-1918,0,0,0,0,0,0,0,0,0,0,,http://www.coninsaramonh.com/coninsa/think/bogota/think/think,https://www.metrocuadrado.com/inmueble/venta-apartamento-bogota-bosque-izquierdo-1-habitaciones-2-banos-1-garajes/223-1918,bosque-izquierdo,Sun Apr  2 16:46:07 2023
315000000,29.0,1,1,3,Bosque Izquierdo,Entre 0 y 5 años,183600.0,,8,617-M3707543,0,0,0,0,1,1,0,0,1,0,,"Apartamento tipo loft con muro a media altura de 1 habitación, 1 baño, cocina abierta. El edificio cuenta con zona de lavandería comunal, gimnasio, terraza BBQ dotada, zona de co-working, portería vigilada y parqueaderos de visitantes.",https://www.metrocuadrado.com/inmueble/venta-apartamento-bogota-san-martin-1-habitaciones-1-banos/617-M3707543,bosque-izquierdo,Sun Apr  2 16:46:14 2023
290000000,37.51,1,1,4,Centro,Entre 0 y 5 años,267900.0,1.0,,2379-M3743520,0,0,0,0,0,0,0,0,0,1,,"se VENDE apartamento, con acabados y vista panoramica, pisos en madera, cocina abierta integral en marmol, zona de lavanderia independiente, habitacion con closet, un garaje cubierto y deposito. Edificio Inteligente, cuenta con ascensor, gimnasio, salon social. Ubicado en el Centro de la Ciudad.",https://www.metrocuadrado.com/inmueble/venta-apartamento-bogota-bosque-izquierdo-1-habitaciones-1-banos-1-garajes/2379-M3743520,bosque-izquierdo,Sun Apr  2 16:46:21 2023
490000000,62.19,1,2,4,BOSQUE IZQUIERDO Centro Internacional,Entre 5 y 10 años,421400.0,1.0,6,MC4054221,0,0,0,0,0,0,0,0,0,1,,"Excelente ubicación (en sector exclusivo del centro de Bogotá), vistas panorámicas de la ciudad.. Iluminación natural permanente (oriente-occidente). 2 balcones con vista a Monserrate y parque. Apacible y segura zona residencial. Habitación opcional en espacio de estudio. Hermosas áreas comunes 6 terrazas con espacios de lectura,, gimnasio, BBQ, parque infantil, 2 salones comunales, Reconocimiento arquitectónico. VENDE O ARRIENDA .Negociable",https://www.metrocuadrado.com/inmueble/venta-apartamento-bogota-bosque-izquierdo-1-habitaciones-2-banos-1-garajes/MC4054221,bosque-izquierdo,Sun Apr  2 16:46:27 2023
227000000,32.0,1,1,3,BOSQUE IZQUIERDO Centro Internacional,Entre 10 y 20 años,269000.0,1.0,3,MC4124799,0,0,0,0,0,0,0,0,0,1,,"En venta Aparta estudio de 32M2, una habitación, sala comedor con chimenea, cocina tipo americano, closet, zona de lavanderia, baño con division en vidrio, tercer piso, super iluminado, parqueadero cubierto e independiente sin servidumbre, conjunto cerrado.",https://www.metrocuadrado.com/inmueble/venta-apartamento-bogota-bosque-izquierdo-1-habitaciones-1-banos-1-garajes/MC4124799,bosque-izquierdo,Sun Apr  2 16:46:32 2023
